Player,Team,Age,Cmp,Pass Att,Cmp%,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Rush TD,Fmb,2023 Fantasy Points
Lamar Jackson,BAL,26,307,457,67.2,3678,24,7,148,821,5,11,319.22
Josh Allen,BUF,27,385,579,66.5,4306,29,18,111,524,15,7,380.64
Patrick Mahomes,KAN,28,401,597,67.2,4183,27,14,75,389,0,5,276.22
C.J. Stroud,HOU,22,319,499,63.9,4108,23,5,39,167,3,8,265.02
Jalen Hurts,PHI,25,352,538,65.4,3858,23,15,157,605,15,9,348.82
Brock Purdy,SFO,24,308,444,69.4,4280,31,11,39,144,2,6,287.6
Joe Burrow,CIN,27,244,365,66.8,2309,15,6,31,88,0,2,145.16
Jordan Love,GNB,25,372,579,64.2,4159,32,11,50,247,4,9,303.06
Justin Herbert,LAC,25,297,456,65.1,3134,20,7,52,228,3,4,224.16
Dak Prescott,DAL,30,410,590,69.5,4516,36,9,55,242,2,4,334.84
Trevor Lawrence,JAX,24,370,564,65.6,4016,21,14,70,339,4,12,250.54
Tua Tagovailoa,MIA,25,388,560,69.3,4624,29,14,35,74,0,13,254.36
