Player,Team,Age,Rush Att,Rush Yds,Rush TD,Fmb,Tgt,Rec,Rec Yds,Rec TD,2023 Fantasy Points
Breece Hall,NYJ,22,223,994,5,2,95,76,591,4,246.5
Jahmyr Gibbs,DET,21,182,945,10,2,71,52,316,1,214.1
Bijan Robinson,ATL,21,214,976,4,4,86,58,487,4,215.3
Christian McCaffrey,SFO,27,272,1459,14,3,83,67,564,7,355.8
Saquon Barkley,NYG,26,247,962,6,2,60,41,280,4,200.7
Travis Etienne,JAX,24,267,1008,11,0,73,58,476,1,249.4
De'Von Achane,MIA,22,103,800,8,1,37,27,197,3,177.2
Isiah Pacheco,KAN,24,205,935,7,1,49,44,244,2,191.9
James Cook,BUF,24,237,1122,2,4,54,44,445,4,206.7
Kenneth Walker III,SEA,23,219,905,8,1,37,29,259,1,182.9
Rachaad White,TAM,24,272,990,6,3,70,64,549,3,233.9
Kyren Williams,LAR,23,228,1144,12,3,48,32,206,3,235.0
