Player,Team,Age,Tgt,Rec,Rec Yds,Rec TD,Fmb,Rush Att,Rush Yds,Rush TD,2023 Fantasy Points
CeeDee Lamb,DAL,24,181,135,1749,12,3,14,113,2,331.7
Ja'Marr Chase,CIN,23,145,100,1216,7,1,3,-6,0,211.0
Justin Jefferson,MIN,24,100,68,1074,5,1,1,-12,0,168.2
Amon-Ra St. Brown,DET,24,164,119,1515,10,1,4,24,0,271.4
Tyreek Hill,MIA,29,171,119,1799,13,1,6,15,0,316.9
Puka Nacua,LAR,22,160,105,1486,6,1,12,89,0,244.0
Garrett Wilson,NYJ,23,168,95,1042,3,2,4,0,0,165.7
D.J. Moore,CHI,26,136,96,1364,8,1,4,21,1,238.5
Rashee Rice,KAN,23,102,79,938,7,2,1,-3,0,171.0
Nico Collins,HOU,24,109,80,1297,8,1,1,7,0,216.4
Jaylen Waddle,MIA,25,104,72,1014,4,0,3,12,0,162.6
Zay Flowers,BAL,23,108,77,858,5,0,8,56,1,165.9
